run_number,Current_class_AP50,Current_class_Precisions50,Current_class_Recall50,Known_AP50,Known_Precisions50,Known_Recall50,Unknown_AP50,Unknown_Precisions50,Unknown_Recall50
1,59.4413,9.661516998768281,72.5384814916603,59.4413,9.661516998768281,72.5384814916603,0.8182,0.6016664608581627,21.938250428816467
2,59.4083,10.267173424419946,72.47150533431318,59.4083,10.267173424419946,72.47150533431318,4.7684,0.5968705005012689,22.006861063464836
3,59.4326,9.52650301430401,72.62818183965314,59.4326,9.52650301430401,72.62818183965314,4.7747,0.6057487718039465,22.01114922813036
