Metric,Mean,Std,Min,Max,Mean_±_Std,Count
Current_class_AP50,56.227700000000006,0.007884795495129627,56.2229,56.2368,56.23 ± 0.01,3
Current_class_Precisions50,62.2762359403768,0.002138472075865088,62.274211038851675,62.278472275602624,62.28 ± 0.00,3
Current_class_Recall50,62.36891491488792,0.00016328702675239384,62.36872636727022,62.36900918869677,62.37 ± 0.00,3
Known_AP50,56.227700000000006,0.007884795495129627,56.2229,56.2368,56.23 ± 0.01,3
Known_Precisions50,62.2762359403768,0.002138472075865088,62.274211038851675,62.278472275602624,62.28 ± 0.00,3
Known_Recall50,62.36891491488792,0.00016328702675239384,62.36872636727022,62.36900918869677,62.37 ± 0.00,3
Unknown_AP50,0.1437,0.0,0.1437,0.1437,0.14 ± 0.00,3
Unknown_Precisions50,0.526381373247256,6.124455977091888e-07,0.5263810196516253,0.5263820804385174,0.53 ± 0.00,3
Unknown_Recall50,22.401372212692973,4.351167857633658e-15,22.40137221269297,22.40137221269297,22.40 ± 0.00,3
