run_number,Current_class_AP50,Current_class_Precisions50,Current_class_Recall50,Known_AP50,Known_Precisions50,Known_Recall50,Unknown_AP50,Unknown_Precisions50,Unknown_Recall50
1,55.2198,62.211837503039774,62.556480404443754,55.2198,62.211837503039774,62.556480404443754,0.7818,0.5012619746476148,21.325042881646656
2,54.96,61.85187822863695,62.55324959455284,54.96,61.85187822863695,62.55324959455284,0.8144,0.4871711594673595,20.711835334476845
3,54.8131,61.2211185446673,62.85917972763231,54.8131,61.2211185446673,62.85917972763231,0.7585,0.5085977234197142,21.612349914236706
