run_number,Current_class_AP50,Current_class_Precisions50,Current_class_Recall50,Known_AP50,Known_Precisions50,Known_Recall50,Unknown_AP50,Unknown_Precisions50,Unknown_Recall50
1,56.5876,46.03283143522266,67.39446280434836,56.5876,46.03283143522266,67.39446280434836,3.2374,0.4148860034761272,17.401372212692966
2,56.5318,43.10433297639061,67.68537285982117,56.5318,43.10433297639061,67.68537285982117,2.4798,0.40678292844742636,17.01114922813036
3,56.2628,46.928482472628886,66.9529090436808,56.2628,46.928482472628886,66.9529090436808,2.014,0.4137409803751347,17.371355060034304
