Metric,Mean,Std,Min,Max,Mean_±_Std,Count
Current_class_AP50,53.6465,0.1818144383705529,53.4472,53.8033,53.65 ± 0.18,3
Current_class_Precisions50,62.62119657940235,0.1680609860493501,62.43490288716049,62.76141241961759,62.62 ± 0.17,3
Current_class_Recall50,61.76609961046778,0.14742849536163247,61.610229658891704,61.903310044004776,61.77 ± 0.15,3
Known_AP50,53.6465,0.1818144383705529,53.4472,53.8033,53.65 ± 0.18,3
Known_Precisions50,62.62119657940235,0.1680609860493501,62.43490288716049,62.76141241961759,62.62 ± 0.17,3
Known_Recall50,61.76609961046778,0.14742849536163247,61.610229658891704,61.903310044004776,61.77 ± 0.15,3
Unknown_AP50,0.9225333333333333,0.18546628624451755,0.7973,1.1356,0.92 ± 0.19,3
Unknown_Precisions50,0.4898175904472999,0.011133683981682834,0.4774558252632555,0.4990560848778149,0.49 ± 0.01,3
Unknown_Recall50,20.850485991995424,0.47275597372254835,20.325900514579757,21.243567753001717,20.85 ± 0.47,3
