Metric,Mean,Std,Min,Max,Mean_±_Std,Count
Current_class_AP50,59.4274,0.017103508412019942,59.4083,59.4413,59.43 ± 0.02,3
Current_class_Precisions50,9.818397812497414,0.3944703491931464,9.52650301430401,10.267173424419946,9.82 ± 0.39,3
Current_class_Recall50,72.54605622187555,0.078612430535894,72.47150533431318,72.62818183965314,72.55 ± 0.08,3
Known_AP50,59.4274,0.017103508412019942,59.4083,59.4413,59.43 ± 0.02,3
Known_Precisions50,9.818397812497414,0.3944703491931464,9.52650301430401,10.267173424419946,9.82 ± 0.39,3
Known_Recall50,72.54605622187555,0.078612430535894,72.47150533431318,72.62818183965314,72.55 ± 0.08,3
Unknown_AP50,3.4537666666666667,2.282469860334049,0.8182,4.7747,3.45 ± 2.28,3
Unknown_Precisions50,0.601428577721126,0.004443913435380121,0.5968705005012689,0.6057487718039465,0.60 ± 0.00,3
Unknown_Recall50,21.98542024013722,0.040906483765734844,21.938250428816467,22.01114922813036,21.99 ± 0.04,3
