Metric,Mean,Std,Min,Max,Mean_±_Std,Count
Current_class_AP50,54.99763333333333,0.20594519497510352,54.8131,55.2198,55.00 ± 0.21,3
Current_class_Precisions50,61.761611425448,0.5014898657382063,61.2211185446673,62.211837503039774,61.76 ± 0.50,3
Current_class_Recall50,62.65630324220964,0.1757036163151761,62.55324959455284,62.85917972763231,62.66 ± 0.18,3
Known_AP50,54.99763333333333,0.20594519497510352,54.8131,55.2198,55.00 ± 0.21,3
Known_Precisions50,61.761611425448,0.5014898657382063,61.2211185446673,62.211837503039774,61.76 ± 0.50,3
Known_Recall50,62.65630324220964,0.1757036163151761,62.55324959455284,62.85917972763231,62.66 ± 0.18,3
Unknown_AP50,0.7849,0.028078639568184238,0.7585,0.8144,0.78 ± 0.03,3
Unknown_Precisions50,0.4990102858448962,0.010889306109633562,0.4871711594673595,0.5085977234197142,0.50 ± 0.01,3
Unknown_Recall50,21.216409376786732,0.4599810386022803,20.711835334476845,21.612349914236706,21.22 ± 0.46,3
