run_number,Current_class_AP50,Current_class_Precisions50,Current_class_Recall50,Known_AP50,Known_Precisions50,Known_Recall50,Unknown_AP50,Unknown_Precisions50,Unknown_Recall50
1,56.087,50.90522756865654,66.02298874086219,56.087,50.90522756865654,66.02298874086219,2.7996,0.40097389549039175,16.89965694682676
2,55.8756,51.06794619660597,65.88794902651246,55.8756,51.06794619660597,65.88794902651246,9.292,0.39396089257145883,16.62092624356775
3,55.6896,51.36335742264771,65.74369870588818,55.6896,51.36335742264771,65.74369870588818,2.4631,0.3999833255553149,16.869639794168094
