run_number,Current_class_AP50,Current_class_Precisions50,Current_class_Recall50,Known_AP50,Known_Precisions50,Known_Recall50,Unknown_AP50,Unknown_Precisions50,Unknown_Recall50
1,59.4521,8.894781435281164,72.8163395710866,59.4521,8.894781435281164,72.8163395710866,1.5168,0.611720409761659,21.90394511149228
2,59.4653,9.579565079077396,72.73568169750382,59.4653,9.579565079077396,72.73568169750382,4.7725,0.6043929451289115,21.955403087478558
3,59.4577,8.810550553383424,72.80542873578294,59.4577,8.810550553383424,72.80542873578294,3.2626,0.6143910487470478,21.963979416809607
